id,as_owner,country,reputation,asn,malicious,suspicious,undetected,harmless,status
,GOOGLE,US,0,15169,0,0,89,0,unknown
,SM Networks,BR,0,262571,0,0,89,0,unknown
,Squiz Pty Ltd,AU,0,55532,0,0,89,0,unknown
,RCS & RDS,RO,0,8708,0,0,89,0,unknown
,Digi Spain Telecom S.l.u.,ES,0,57269,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,CLOUDFLARENET,,0,13335,0,0,24,65,benign
,AMAZON-02,IE,0,16509,0,0,89,0,unknown
,AMAZON-02,DE,0,16509,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,22,67,benign
,NForce Entertainment B.V.,NL,0,43350,0,0,42,47,unknown
,,US,0,,0,0,89,0,unknown
,,DE,0,,0,0,89,0,unknown
,V tal,BR,0,8167,0,0,89,0,unknown
,COMCAST-7922,US,0,7922,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,23,66,benign
,Cellcom Fixed Line Communication L.P,IL,0,1680,0,0,89,0,unknown
,Limited Liability Company KYIVSKI TELEKOMUNIKATSIYNI MEREZHI,UA,0,25229,0,0,89,0,unknown
,NForce Entertainment B.V.,NL,0,43350,0,0,89,0,unknown
,FACEBOOK,IE,0,32934,0,0,33,56,benign
,TWITTER,US,0,13414,0,0,89,0,unknown
,Akamai International B.V.,US,0,20940,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,JSC ER-Telecom Holding,RU,0,51604,0,0,89,0,unknown
,AMAZON-02,SG,0,16509,0,0,23,66,benign
,Virgin Media,GB,0,5089,0,0,89,0,unknown
,Excellmedia,IN,0,17754,0,0,89,0,unknown
,Telefonica de Argentina,AR,0,22927,0,0,89,0,unknown
,JSC ER-Telecom Holding,RU,0,41733,0,0,89,0,unknown
,VTR BANDA ANCHA S.A.,CL,0,22047,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,CLOUDFLARENET,,0,13335,0,0,32,57,benign
,GOOGLE,US,0,15169,0,0,22,67,benign
,PAXIO-SFBA,US,0,36734,0,0,89,0,unknown
,OVH SAS,FR,0,16276,0,0,89,0,unknown
,TELEFONICA BRASIL S.A,BR,0,18881,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,Crnogorski Telekom a.d.Podgorica,ME,0,8585,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
,,US,0,,0,0,89,0,unknown
,BIDTELLECT,US,0,18568,0,0,89,0,unknown
,UNINET,MX,0,8151,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,LEVEL3,GB,0,3356,0,0,89,0,unknown
,Magyar Telekom plc.,HU,0,5483,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,Elisa Oyj,FI,0,719,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,Free SAS,FR,0,12322,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
,Telecom Italia,IT,0,3269,0,0,89,0,unknown
,,GB,0,,0,0,89,0,unknown
,NForce Entertainment B.V.,NL,-18,43350,8,3,18,60,benign
,INDINET SERVICE PRIVATE LIMITED,IN,0,132115,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,29,60,benign
,"CANTV Servicios, Venezuela",VE,0,8048,0,0,89,0,unknown
,AKAMAI-AS,DE,0,16625,0,0,89,0,unknown
,ASN-CXA-ALL-CCI-22773-RDC,US,0,22773,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
